x	y	dx	dy
518732885417093	18.72333333	4.48652364	1.315568107
549375085839857	13.77	0.1006043283	0.8626171418
688336256850380	12.84333333	0.1579356008	0.1329891391
741369660183084	21.83333333	0.1832096577	1.578824281
821307801538471	28.47666667	0.3179842719	1.63410101
