x	y	dx	dy
518732885417093	0.7546666667	4.48652364	0.007823690973
549375085839857	1.428333333	0.1006043283	0.009865208366
688336256850380	1.508333333	0.1579356008	0.01009141893
741369660183084	1.692	0.1832096577	0.0100925274
821307801538471	1.9590	0.3179842719	0.03150622894
