Voltage U1	Corriente IA	Voltage U2	Voltage U3	Voltage UH
U1/V	IA/nA	U2/V	U3/V	UH/V

6,47	0,87	5,0	5,9	5,0
6,49	0,88	5,0	5,9	5,0
6,52	0,88	5,0	5,9	5,0
6,54	0,88	5,0	5,9	5,0
6,56	0,88	5,0	5,9	5,0
6,59	0,89	5,0	5,9	5,0
6,61	0,90	5,0	5,9	5,0
6,64	0,89	5,0	5,9	5,0
6,66	0,89	5,0	5,9	5,0
6,69	0,90	5,0	5,9	5,0
6,71	0,91	5,0	5,9	5,0
6,73	0,90	5,0	5,9	5,0
6,76	0,89	5,0	5,9	5,0
6,78	0,90	5,0	5,9	5,0
6,81	0,91	5,0	5,9	5,0
6,83	0,90	5,0	5,9	5,0
6,86	0,90	5,0	5,9	5,0
6,88	0,91	5,0	5,9	5,0
6,91	0,92	5,0	5,9	5,0
6,93	0,91	5,0	5,9	5,0
6,95	0,91	5,0	5,9	5,0
6,98	0,92	5,0	5,9	5,0
7,00	0,92	5,0	5,9	5,0
7,03	0,93	5,0	5,9	5,0
7,05	0,93	5,0	5,9	5,0
7,08	0,92	5,0	5,9	5,0
7,10	0,93	5,0	5,9	5,0
7,13	0,93	5,0	5,9	5,0
7,15	0,94	5,0	5,9	5,0
7,17	0,93	5,0	5,9	5,0
7,20	0,94	5,0	5,9	5,0
7,22	0,95	5,0	5,9	5,0
7,25	0,94	5,0	5,9	5,0
7,27	0,94	5,0	5,9	5,0
7,30	0,95	5,0	5,9	5,0
7,32	0,95	5,0	5,9	5,0
7,35	0,95	5,0	5,9	5,0
7,37	0,95	5,0	5,9	5,0
7,39	0,96	5,0	5,9	5,0
7,42	0,96	5,0	5,9	5,0
7,44	0,95	5,0	5,9	5,0
7,47	0,95	5,0	5,9	5,0
7,49	0,96	5,0	5,9	5,0
7,52	0,97	5,0	5,9	5,0
7,54	0,96	5,0	5,9	5,0
7,57	0,96	5,0	5,9	5,0
7,59	0,97	5,0	5,9	5,0
7,61	0,97	5,0	5,9	5,0
7,64	0,97	5,0	5,9	5,0
7,66	0,97	5,0	5,9	5,0
7,69	0,96	5,0	5,9	5,0
7,71	0,97	5,0	5,9	5,0
7,74	0,98	5,0	5,9	5,0
7,76	0,98	5,0	5,9	5,0
7,78	0,98	5,0	5,9	5,0
7,81	0,98	5,0	5,9	5,0
7,83	0,99	5,0	5,9	5,0
7,86	0,99	5,0	5,9	5,0
7,88	0,98	5,0	5,9	5,0
7,91	0,99	5,0	5,9	5,0
7,93	0,99	5,0	5,9	5,0
7,96	0,99	5,0	5,9	5,0
7,98	0,98	5,0	5,9	5,0
8,00	0,99	5,0	5,9	5,0
8,03	1,00	5,0	5,9	5,0
8,05	1,00	5,0	5,9	5,0
8,08	0,99	5,0	5,9	5,0
8,10	1,00	5,0	5,9	5,0
8,13	1,01	5,0	5,9	5,0
8,15	1,00	5,0	5,9	5,0
8,18	1,00	5,0	5,9	5,0
8,20	1,01	5,0	5,9	5,0
8,22	1,01	5,0	5,9	5,0
8,25	1,01	5,0	5,9	5,0
8,27	1,01	5,0	5,9	5,0
8,30	1,02	5,0	5,9	5,0
8,32	1,02	5,0	5,9	5,0
8,35	1,02	5,0	5,9	5,0
8,37	1,02	5,0	5,9	5,0
8,40	1,03	5,0	5,9	5,0
8,42	1,03	5,0	5,9	5,0
8,44	1,02	5,0	5,9	5,0
8,47	1,02	5,0	5,9	5,0
8,49	1,03	5,0	5,9	5,0
8,52	1,04	5,0	5,9	5,0
8,54	1,03	5,0	5,9	5,0
8,57	1,03	5,0	5,9	5,0
8,59	1,04	5,0	5,9	5,0
8,62	1,04	5,0	5,9	5,0
8,64	1,03	5,0	5,9	5,0
8,66	1,03	5,0	5,9	5,0
8,69	1,04	5,0	5,9	5,0
8,71	1,04	5,0	5,9	5,0
8,74	1,03	5,0	5,9	5,0
8,76	1,04	5,0	5,9	5,0
8,79	1,05	5,0	5,9	5,0
8,81	1,05	5,0	5,9	5,0
8,84	1,04	5,0	5,9	5,0
8,86	1,04	5,0	5,9	5,0
8,88	1,05	5,0	5,9	5,0
8,91	1,05	5,0	5,9	5,0
8,93	1,04	5,0	5,9	5,0
8,96	1,05	5,0	5,9	5,0
8,98	1,06	5,0	5,9	5,0
9,01	1,06	5,0	5,9	5,0
9,03	1,05	5,0	5,9	5,0
9,05	1,05	5,0	5,9	5,0
9,08	1,07	5,0	5,9	5,0
9,10	1,07	5,0	5,9	5,0
9,13	1,06	5,0	5,9	5,0
9,15	1,06	5,0	5,9	5,0
9,18	1,07	5,0	5,9	5,0
9,20	1,07	5,0	5,9	5,0
9,23	1,06	5,0	5,9	5,0
9,25	1,07	5,0	5,9	5,0
9,27	1,08	5,0	5,9	5,0
9,30	1,08	5,0	5,9	5,0
9,32	1,07	5,0	5,9	5,0
9,35	1,07	5,0	5,9	5,0
9,37	1,08	5,0	5,9	5,0
9,40	1,08	5,0	5,9	5,0
9,42	1,07	5,0	5,9	5,0
9,45	1,08	5,0	5,9	5,0
9,47	1,08	5,0	5,9	5,0
9,49	1,09	5,0	5,9	5,0
9,52	1,09	5,0	5,9	5,0
9,54	1,08	5,0	5,9	5,0
9,57	1,09	5,0	5,9	5,0
9,59	1,10	5,0	5,9	5,0
9,62	1,10	5,0	5,9	5,0
9,64	1,09	5,0	5,9	5,0
9,67	1,09	5,0	5,9	5,0
9,69	1,11	5,0	5,9	5,0
9,71	1,11	5,0	5,9	5,0
9,74	1,10	5,0	5,9	5,0
9,76	1,11	5,0	5,9	5,0
9,79	1,11	5,0	5,9	5,0
9,81	1,11	5,0	5,9	5,0
9,84	1,11	5,0	5,9	5,0
9,86	1,10	5,0	5,9	5,0
9,89	1,11	5,0	5,9	5,0
9,91	1,12	5,0	5,9	5,0
9,93	1,11	5,0	5,9	5,0
9,96	1,11	5,0	5,9	5,0
9,98	1,12	5,0	5,9	5,0
10,01	1,12	5,0	5,9	5,0
10,03	1,11	5,0	5,9	5,0
10,06	1,11	5,0	5,9	5,0
10,08	1,12	5,0	5,9	5,0
10,10	1,12	5,0	5,9	5,0
10,13	1,12	5,0	5,9	5,0
10,15	1,12	5,0	5,9	5,0
10,18	1,11	5,0	5,9	5,0
10,20	1,13	5,0	5,9	5,0
10,23	1,13	5,0	5,9	5,0
10,25	1,12	5,0	5,9	5,0
10,28	1,12	5,0	5,9	5,0
10,30	1,13	5,0	5,9	5,0
10,32	1,13	5,0	5,9	5,0
10,35	1,12	5,0	5,9	5,0
10,37	1,12	5,0	5,9	5,0
10,40	1,13	5,0	5,9	5,0
10,42	1,14	5,0	5,9	5,0
10,45	1,13	5,0	5,9	5,0
10,47	1,13	5,0	5,9	5,0
10,50	1,14	5,0	5,9	5,0
10,52	1,14	5,0	5,9	5,0
10,54	1,13	5,0	5,9	5,0
10,57	1,13	5,0	5,9	5,0
10,59	1,14	5,0	5,9	5,0
10,62	1,14	5,0	5,9	5,0
10,64	1,13	5,0	5,9	5,0
10,67	1,14	5,0	5,9	5,0
10,69	1,15	5,0	5,9	5,0
10,72	1,15	5,0	5,9	5,0
10,74	1,14	5,0	5,9	5,0
10,76	1,14	5,0	5,9	5,0
10,79	1,15	5,0	5,9	5,0
10,81	1,15	5,0	5,9	5,0
10,84	1,14	5,0	5,9	5,0
10,86	1,15	5,0	5,9	5,0
10,89	1,16	5,0	5,9	5,0
10,91	1,17	5,0	5,9	5,0
10,94	1,16	5,0	5,9	5,0
10,96	1,16	5,0	5,9	5,0
10,98	1,17	5,0	5,9	5,0
11,01	1,16	5,0	5,9	5,0
11,03	1,15	5,0	5,9	5,0
11,06	1,15	5,0	5,9	5,0
11,08	1,16	5,0	5,9	5,0
11,11	1,16	5,0	5,9	5,0
11,13	1,15	5,0	5,9	5,0
11,15	1,16	5,0	5,9	5,0
11,18	1,16	5,0	5,9	5,0
11,20	1,16	5,0	5,9	5,0
11,23	1,16	5,0	5,9	5,0
11,25	1,17	5,0	5,9	5,0
11,28	1,17	5,0	5,9	5,0
11,30	1,17	5,0	5,9	5,0
11,33	1,16	5,0	5,9	5,0
11,35	1,17	5,0	5,9	5,0
11,37	1,18	5,0	5,9	5,0
11,40	1,17	5,0	5,9	5,0
11,42	1,17	5,0	5,9	5,0
11,45	1,17	5,0	5,9	5,0
11,47	1,18	5,0	5,9	5,0
11,50	1,17	5,0	5,9	5,0
11,52	1,17	5,0	5,9	5,0
11,55	1,18	5,0	5,9	5,0
11,57	1,18	5,0	5,9	5,0
11,59	1,17	5,0	5,9	5,0
11,62	1,17	5,0	5,9	5,0
11,64	1,18	5,0	5,9	5,0
11,67	1,19	5,0	5,9	5,0
11,69	1,18	5,0	5,9	5,0
11,72	1,18	5,0	5,9	5,0
11,74	1,19	5,0	5,9	5,0
11,77	1,19	5,0	5,9	5,0
11,79	1,18	5,0	5,9	5,0
11,81	1,18	5,0	5,9	5,0
11,84	1,19	5,0	5,9	5,0
11,86	1,19	5,0	5,9	5,0
11,89	1,18	5,0	5,9	5,0
11,91	1,18	5,0	5,9	5,0
11,94	1,18	5,0	5,9	5,0
11,96	1,18	5,0	5,9	5,0
11,99	1,19	5,0	5,9	5,0
12,01	1,19	5,0	5,9	5,0
12,03	1,18	5,0	5,9	5,0
12,06	1,19	5,0	5,9	5,0
12,08	1,19	5,0	5,9	5,0
12,11	1,19	5,0	5,9	5,0
12,13	1,19	5,0	5,9	5,0
12,16	1,20	5,0	5,9	5,0
12,18	1,20	5,0	5,9	5,0
12,21	1,19	5,0	5,9	5,0
12,23	1,19	5,0	5,9	5,0
12,25	1,20	5,0	5,9	5,0
12,28	1,19	5,0	5,9	5,0
12,30	1,19	5,0	5,9	5,0
12,33	1,19	5,0	5,9	5,0
12,35	1,20	5,0	5,9	5,0
12,38	1,20	5,0	5,9	5,0
12,40	1,20	5,0	5,9	5,0
12,42	1,19	5,0	5,9	5,0
12,45	1,20	5,0	5,9	5,0
12,47	1,20	5,0	5,9	5,0
12,50	1,20	5,0	5,9	5,0
12,52	1,20	5,0	5,9	5,0
12,55	1,20	5,0	5,9	5,0
12,57	1,21	5,0	5,9	5,0
12,60	1,21	5,0	5,9	5,0
12,62	1,21	5,0	5,9	5,0
12,64	1,20	5,0	5,9	5,0
12,67	1,20	5,0	5,9	5,0
12,69	1,22	5,0	5,9	5,0
12,72	1,21	5,0	5,9	5,0
12,74	1,20	5,0	5,9	5,0
12,77	1,21	5,0	5,9	5,0
12,79	1,21	5,0	5,9	5,0
12,82	1,21	5,0	5,9	5,0
12,84	1,21	5,0	5,9	5,0
12,86	1,21	5,0	5,9	5,0
12,89	1,22	5,0	5,9	5,0
12,91	1,21	5,0	5,9	5,0
12,94	1,20	5,0	5,9	5,0
12,96	1,21	5,0	5,9	5,0
12,99	1,21	5,0	5,9	5,0
13,01	1,20	5,0	5,9	5,0
13,04	1,19	5,0	5,9	5,0
13,06	1,20	5,0	5,9	5,0
13,08	1,20	5,0	5,9	5,0
13,11	1,20	5,0	5,9	5,0
13,13	1,19	5,0	5,9	5,0
13,16	1,19	5,0	5,9	5,0
13,18	1,19	5,0	5,9	5,0
13,21	1,18	5,0	5,9	5,0
13,23	1,18	5,0	5,9	5,0
13,26	1,18	5,0	5,9	5,0
13,28	1,18	5,0	5,9	5,0
13,30	1,17	5,0	5,9	5,0
13,33	1,16	5,0	5,9	5,0
13,35	1,16	5,0	5,9	5,0
13,38	1,16	5,0	5,9	5,0
13,40	1,14	5,0	5,9	5,0
13,43	1,14	5,0	5,9	5,0
13,45	1,14	5,0	5,9	5,0
13,47	1,13	5,0	5,9	5,0
13,50	1,11	5,0	5,9	5,0
