Voltage U1	Corriente IA	Voltage U2	Voltage U3	Voltage UH
U1/V	IA/nA	U2/V	U3/V	UH/V

0,02	9,41	3,0	5,9	7,0
0,04	9,50	3,0	5,9	7,0
0,07	9,59	3,0	5,9	7,0
0,09	9,67	3,0	5,9	7,0
0,12	9,81	3,0	5,9	7,0
0,14	9,97	3,0	5,9	7,0
0,17	10,10	3,0	5,9	7,0
0,19	10,25	3,0	5,9	7,0
0,21	10,44	3,0	5,9	7,0
0,24	10,66	3,0	5,9	7,0
0,26	10,84	3,0	5,9	7,0
0,29	10,99	3,0	5,9	7,0
0,31	11,17	3,0	5,9	7,0
0,34	11,38	3,0	5,9	7,0
0,36	11,57	3,0	5,9	7,0
0,39	11,73	3,0	5,9	7,0
0,41	11,91	3,0	5,9	7,0
0,43	12,11	3,0	5,9	7,0
0,46	12,29	3,0	5,9	7,0
0,48	12,44	3,0	5,9	7,0
0,51	12,60	3,0	5,9	7,0
0,53	12,80	3,0	5,9	7,0
0,56	12,97	3,0	5,9	7,0
0,58	13,11	3,0	5,9	7,0
0,61	13,27	3,0	5,9	7,0
0,63	13,45	3,0	5,9	7,0
0,65	13,61	3,0	5,9	7,0
0,68	13,76	3,0	5,9	7,0
0,70	13,93	3,0	5,9	7,0
0,73	14,11	3,0	5,9	7,0
0,75	14,27	3,0	5,9	7,0
0,78	14,40	3,0	5,9	7,0
0,80	14,56	3,0	5,9	7,0
0,83	14,73	3,0	5,9	7,0
0,85	14,88	3,0	5,9	7,0
0,87	15,02	3,0	5,9	7,0
0,90	15,18	3,0	5,9	7,0
0,92	15,36	3,0	5,9	7,0
0,95	15,49	3,0	5,9	7,0
0,97	15,61	3,0	5,9	7,0
1,00	15,77	3,0	5,9	7,0
1,02	15,94	3,0	5,9	7,0
1,05	16,07	3,0	5,9	7,0
1,07	16,19	3,0	5,9	7,0
1,09	16,35	3,0	5,9	7,0
1,12	16,52	3,0	5,9	7,0
1,14	16,65	3,0	5,9	7,0
1,17	16,78	3,0	5,9	7,0
1,19	16,95	3,0	5,9	7,0
1,22	17,10	3,0	5,9	7,0
1,24	17,21	3,0	5,9	7,0
1,26	17,33	3,0	5,9	7,0
1,29	17,48	3,0	5,9	7,0
1,31	17,63	3,0	5,9	7,0
1,34	17,75	3,0	5,9	7,0
1,36	17,88	3,0	5,9	7,0
1,39	18,04	3,0	5,9	7,0
1,41	18,19	3,0	5,9	7,0
1,44	18,30	3,0	5,9	7,0
1,46	18,44	3,0	5,9	7,0
1,48	18,59	3,0	5,9	7,0
1,51	18,74	3,0	5,9	7,0
1,53	18,83	3,0	5,9	7,0
1,56	18,96	3,0	5,9	7,0
1,58	19,12	3,0	5,9	7,0
1,61	19,26	3,0	5,9	7,0
1,63	19,36	3,0	5,9	7,0
1,66	19,48	3,0	5,9	7,0
1,68	19,64	3,0	5,9	7,0
1,70	19,77	3,0	5,9	7,0
1,73	19,86	3,0	5,9	7,0
1,75	19,99	3,0	5,9	7,0
1,78	20,15	3,0	5,9	7,0
1,80	20,29	3,0	5,9	7,0
1,83	20,37	3,0	5,9	7,0
1,85	20,50	3,0	5,9	7,0
1,88	20,67	3,0	5,9	7,0
1,90	20,80	3,0	5,9	7,0
1,92	20,89	3,0	5,9	7,0
1,95	21,01	3,0	5,9	7,0
1,97	21,16	3,0	5,9	7,0
2,00	21,28	3,0	5,9	7,0
2,02	21,37	3,0	5,9	7,0
2,05	21,49	3,0	5,9	7,0
2,07	21,65	3,0	5,9	7,0
2,10	21,76	3,0	5,9	7,0
2,12	21,85	3,0	5,9	7,0
2,14	21,98	3,0	5,9	7,0
2,17	22,13	3,0	5,9	7,0
2,19	22,25	3,0	5,9	7,0
2,22	22,34	3,0	5,9	7,0
2,24	22,45	3,0	5,9	7,0
2,27	22,60	3,0	5,9	7,0
2,29	22,69	3,0	5,9	7,0
2,31	22,82	3,0	5,9	7,0
2,34	22,93	3,0	5,9	7,0
2,36	23,04	3,0	5,9	7,0
2,39	23,16	3,0	5,9	7,0
2,41	23,29	3,0	5,9	7,0
2,44	23,39	3,0	5,9	7,0
2,46	23,50	3,0	5,9	7,0
2,49	23,63	3,0	5,9	7,0
2,51	23,74	3,0	5,9	7,0
2,53	23,84	3,0	5,9	7,0
2,56	23,95	3,0	5,9	7,0
2,58	24,07	3,0	5,9	7,0
2,61	24,17	3,0	5,9	7,0
2,63	24,26	3,0	5,9	7,0
2,66	24,37	3,0	5,9	7,0
2,68	24,45	3,0	5,9	7,0
2,71	24,57	3,0	5,9	7,0
2,73	24,69	3,0	5,9	7,0
2,75	24,78	3,0	5,9	7,0
2,78	24,86	3,0	5,9	7,0
2,80	24,98	3,0	5,9	7,0
2,83	25,11	3,0	5,9	7,0
2,85	25,18	3,0	5,9	7,0
2,88	25,25	3,0	5,9	7,0
2,90	25,38	3,0	5,9	7,0
2,93	25,49	3,0	5,9	7,0
2,95	25,55	3,0	5,9	7,0
2,97	25,64	3,0	5,9	7,0
3,00	25,76	3,0	5,9	7,0
3,02	25,87	3,0	5,9	7,0
3,05	25,93	3,0	5,9	7,0
3,07	26,03	3,0	5,9	7,0
3,10	26,17	3,0	5,9	7,0
3,12	26,27	3,0	5,9	7,0
3,15	26,34	3,0	5,9	7,0
3,17	26,43	3,0	5,9	7,0
3,19	26,55	3,0	5,9	7,0
3,22	26,64	3,0	5,9	7,0
3,24	26,69	3,0	5,9	7,0
3,27	26,78	3,0	5,9	7,0
3,29	26,90	3,0	5,9	7,0
3,32	26,99	3,0	5,9	7,0
3,34	27,03	3,0	5,9	7,0
3,36	27,13	3,0	5,9	7,0
3,39	27,25	3,0	5,9	7,0
3,41	27,34	3,0	5,9	7,0
3,44	27,37	3,0	5,9	7,0
3,46	27,45	3,0	5,9	7,0
3,49	27,57	3,0	5,9	7,0
3,51	27,64	3,0	5,9	7,0
3,54	27,68	3,0	5,9	7,0
3,56	27,76	3,0	5,9	7,0
3,58	27,88	3,0	5,9	7,0
3,61	27,96	3,0	5,9	7,0
3,63	27,98	3,0	5,9	7,0
3,66	28,07	3,0	5,9	7,0
3,68	28,18	3,0	5,9	7,0
3,71	28,25	3,0	5,9	7,0
3,73	28,29	3,0	5,9	7,0
3,76	28,37	3,0	5,9	7,0
3,78	28,49	3,0	5,9	7,0
3,80	28,56	3,0	5,9	7,0
3,83	28,60	3,0	5,9	7,0
3,85	28,69	3,0	5,9	7,0
3,88	28,80	3,0	5,9	7,0
3,90	28,86	3,0	5,9	7,0
3,93	28,90	3,0	5,9	7,0
3,95	28,98	3,0	5,9	7,0
3,98	29,10	3,0	5,9	7,0
4,00	29,15	3,0	5,9	7,0
4,02	29,18	3,0	5,9	7,0
4,05	29,27	3,0	5,9	7,0
4,07	29,38	3,0	5,9	7,0
4,10	29,42	3,0	5,9	7,0
4,12	29,46	3,0	5,9	7,0
4,15	29,54	3,0	5,9	7,0
4,17	29,63	3,0	5,9	7,0
4,20	29,68	3,0	5,9	7,0
4,22	29,71	3,0	5,9	7,0
4,24	29,80	3,0	5,9	7,0
4,27	29,90	3,0	5,9	7,0
4,29	29,93	3,0	5,9	7,0
4,32	29,98	3,0	5,9	7,0
4,34	30,07	3,0	5,9	7,0
4,37	30,16	3,0	5,9	7,0
4,39	30,20	3,0	5,9	7,0
4,42	30,23	3,0	5,9	7,0
4,44	30,33	3,0	5,9	7,0
4,46	30,42	3,0	5,9	7,0
4,49	30,46	3,0	5,9	7,0
4,51	30,50	3,0	5,9	7,0
4,54	30,59	3,0	5,9	7,0
4,56	30,67	3,0	5,9	7,0
4,59	30,70	3,0	5,9	7,0
4,61	30,74	3,0	5,9	7,0
4,63	30,81	3,0	5,9	7,0
4,66	30,88	3,0	5,9	7,0
4,68	30,91	3,0	5,9	7,0
4,71	30,96	3,0	5,9	7,0
4,73	31,03	3,0	5,9	7,0
4,76	31,10	3,0	5,9	7,0
4,78	31,17	3,0	5,9	7,0
4,81	31,22	3,0	5,9	7,0
4,83	31,27	3,0	5,9	7,0
4,85	31,33	3,0	5,9	7,0
4,88	31,41	3,0	5,9	7,0
4,90	31,47	3,0	5,9	7,0
4,93	31,50	3,0	5,9	7,0
4,95	31,56	3,0	5,9	7,0
4,98	31,65	3,0	5,9	7,0
5,00	31,71	3,0	5,9	7,0
5,03	31,76	3,0	5,9	7,0
5,05	31,83	3,0	5,9	7,0
5,07	31,91	3,0	5,9	7,0
5,10	31,98	3,0	5,9	7,0
5,12	32,04	3,0	5,9	7,0
5,15	32,06	3,0	5,9	7,0
5,17	32,13	3,0	5,9	7,0
5,20	32,24	3,0	5,9	7,0
5,22	32,30	3,0	5,9	7,0
5,25	32,32	3,0	5,9	7,0
5,27	32,39	3,0	5,9	7,0
5,29	32,50	3,0	5,9	7,0
5,32	32,56	3,0	5,9	7,0
5,34	32,56	3,0	5,9	7,0
5,37	32,64	3,0	5,9	7,0
5,39	32,75	3,0	5,9	7,0
5,42	32,80	3,0	5,9	7,0
5,44	32,81	3,0	5,9	7,0
5,47	32,89	3,0	5,9	7,0
5,49	33,00	3,0	5,9	7,0
5,51	33,05	3,0	5,9	7,0
5,54	33,08	3,0	5,9	7,0
5,56	33,16	3,0	5,9	7,0
5,59	33,27	3,0	5,9	7,0
5,61	33,32	3,0	5,9	7,0
5,64	33,34	3,0	5,9	7,0
5,66	33,43	3,0	5,9	7,0
5,68	33,55	3,0	5,9	7,0
5,71	33,60	3,0	5,9	7,0
5,73	33,63	3,0	5,9	7,0
5,76	33,71	3,0	5,9	7,0
5,78	33,81	3,0	5,9	7,0
5,81	33,86	3,0	5,9	7,0
5,83	33,90	3,0	5,9	7,0
5,86	33,98	3,0	5,9	7,0
5,88	34,08	3,0	5,9	7,0
5,90	34,12	3,0	5,9	7,0
5,93	34,15	3,0	5,9	7,0
5,95	34,24	3,0	5,9	7,0
5,98	34,32	3,0	5,9	7,0
6,00	34,35	3,0	5,9	7,0
6,03	34,39	3,0	5,9	7,0
6,05	34,47	3,0	5,9	7,0
6,08	34,57	3,0	5,9	7,0
6,10	34,60	3,0	5,9	7,0
6,12	34,65	3,0	5,9	7,0
6,15	34,75	3,0	5,9	7,0
6,17	34,85	3,0	5,9	7,0
6,20	34,88	3,0	5,9	7,0
6,22	34,94	3,0	5,9	7,0
6,25	35,03	3,0	5,9	7,0
6,27	35,12	3,0	5,9	7,0
6,30	35,16	3,0	5,9	7,0
6,32	35,22	3,0	5,9	7,0
6,34	35,32	3,0	5,9	7,0
6,37	35,40	3,0	5,9	7,0
6,39	35,43	3,0	5,9	7,0
6,42	35,48	3,0	5,9	7,0
6,44	35,58	3,0	5,9	7,0
